/Users/gaurav_raj/ai-projects/s3-karo/components/common/ActionDropdown.tsx: line 39, col 37, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/ActionDropdown.tsx: line 40, col 9, Warning - 'path' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/ActionDropdown.tsx: line 132, col 48, Warning - Classname 'modal-cancel-btn' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/Breadcrumbs.tsx: line 24, col 10, Warning - Classname 'no-scrollbar' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DashboardLayout.tsx: line 29, col 17, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DashboardLayout.tsx: line 45, col 3, Warning - 'title' is assigned a value but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 47, col 38, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 147, col 45, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 283, col 11, Warning - 'result' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 292, col 25, Warning - 'fileData' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 322, col 43, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 363, col 6, Warning - React Hook useCallback has a missing dependency: 'uploadFile'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 389, col 19, Warning - 'dropzoneActive' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 395, col 19, Warning - 'e' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 457, col 23, Warning - Classname 'text-blue-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 462, col 23, Warning - Classname 'text-orange-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 465, col 23, Warning - Classname 'text-orange-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 468, col 23, Warning - Classname 'text-green-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 471, col 23, Warning - Classname 'text-red-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 493, col 19, Warning - Classname 'border-orange-500' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 493, col 19, Warning - Classname 'text-orange-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 493, col 19, Warning - Classname 'hover:bg-orange-50' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 571, col 31, Warning - Classname 'text-orange-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 571, col 31, Warning - Classname 'text-red-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 591, col 49, Warning - Classname 'text-green-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/DragDropUploadZone.tsx: line 594, col 38, Warning - Classname 'text-red-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/Search.tsx: line 30, col 37, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/Search.tsx: line 40, col 6, Warning - React Hook useEffect has a missing dependency: 'query'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/Search.tsx: line 53, col 6, Warning - React Hook useEffect has missing dependencies: 'path', 'router', 'searchParams', and 'searchQuery'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/UploadButton.tsx: line 14, col 30, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/UploadButton.tsx: line 52, col 21, Warning - 'file' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/UsageSummaryCard.tsx: line 24, col 14, Warning - Classname 'separator' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/components/form-inputs/FormCheckbox.tsx: line 22, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/form-inputs/FormEmailInput.tsx: line 22, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/form-inputs/FormInput.tsx: line 23, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/form-inputs/FormNumberInput.tsx: line 22, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/form-inputs/FormPasswordInput.tsx: line 24, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/form-inputs/FormSelectInput.tsx: line 33, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/form-inputs/FormTextInput.tsx: line 22, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/form-inputs/FormTextarea.tsx: line 22, col 12, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/layout/Sidebar.tsx: line 16, col 14, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/layout/Sidebar.tsx: line 23, col 3, Warning - 'mode' is assigned a value but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/components/layout/Sidebar.tsx: line 46, col 24, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
